cve_id,published,last_modified,source_identifier,url,cve_year
CVE-2020-5840,2020-01-06T18:15:24.247,2024-11-21T05:34:40.757,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5840,2020
CVE-2020-5514,2020-01-06T19:15:11.577,2024-11-21T05:34:11.630,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5514,2020
CVE-2020-5515,2020-01-06T19:15:11.673,2024-11-21T05:34:11.760,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5515,2020
CVE-2020-5204,2020-01-06T20:15:12.523,2024-11-21T05:33:40.420,security-advisories@github.com,https://cvefeed.io/vuln/detail/CVE-2020-5204,2020
CVE-2020-5512,2020-01-06T20:15:12.803,2024-11-21T05:34:11.380,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5512,2020
CVE-2020-5513,2020-01-06T20:15:12.913,2024-11-21T05:34:11.510,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5513,2020
CVE-2020-5846,2020-01-06T21:15:11.737,2024-11-21T05:34:41.400,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5846,2020
CVE-2020-5843,2020-01-07T13:15:10.443,2024-11-21T05:34:41.133,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5843,2020
CVE-2020-5393,2020-01-07T16:15:12.047,2024-11-21T05:34:03.427,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5393,2020
CVE-2020-5307,2020-01-07T19:15:11.167,2024-11-21T05:33:52.883,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5307,2020
CVE-2020-5842,2020-01-07T20:15:09.960,2024-11-21T05:34:41.007,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5842,2020
CVE-2020-5841,2020-01-07T21:15:10.697,2024-11-21T05:34:40.883,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5841,2020
CVE-2020-6163,2020-01-08T02:15:10.553,2024-11-21T05:35:13.310,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6163,2020
CVE-2020-6170,2020-01-08T06:15:12.383,2024-11-21T05:35:14.213,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6170,2020
CVE-2020-0009,2020-01-08T16:15:11.577,2024-11-21T04:52:44.447,security@android.com,https://cvefeed.io/vuln/detail/CVE-2020-0009,2020
CVE-2020-5183,2020-01-08T18:15:13.353,2024-11-21T05:33:38.400,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5183,2020
CVE-2020-5510,2020-01-08T18:15:13.963,2024-11-21T05:34:11.117,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5510,2020
CVE-2020-5511,2020-01-08T18:15:14.603,2024-11-21T05:34:11.250,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5511,2020
CVE-2020-0001,2020-01-08T19:15:12.843,2024-11-21T04:52:43.530,security@android.com,https://cvefeed.io/vuln/detail/CVE-2020-0001,2020
CVE-2020-0002,2020-01-08T19:15:12.923,2024-11-21T04:52:43.650,security@android.com,https://cvefeed.io/vuln/detail/CVE-2020-0002,2020
CVE-2020-0003,2020-01-08T19:15:13.063,2024-11-21T04:52:43.767,security@android.com,https://cvefeed.io/vuln/detail/CVE-2020-0003,2020
CVE-2020-0004,2020-01-08T19:15:13.140,2024-11-21T04:52:43.877,security@android.com,https://cvefeed.io/vuln/detail/CVE-2020-0004,2020
CVE-2020-0006,2020-01-08T19:15:13.187,2024-11-21T04:52:44.103,security@android.com,https://cvefeed.io/vuln/detail/CVE-2020-0006,2020
CVE-2020-0007,2020-01-08T19:15:13.267,2024-11-21T04:52:44.217,security@android.com,https://cvefeed.io/vuln/detail/CVE-2020-0007,2020
CVE-2020-0008,2020-01-08T19:15:13.313,2024-11-21T04:52:44.330,security@android.com,https://cvefeed.io/vuln/detail/CVE-2020-0008,2020
CVE-2020-6583,2020-01-08T20:15:13.030,2024-11-21T05:36:00.543,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6583,2020
CVE-2020-6609,2020-01-08T21:15:11.193,2024-11-21T05:36:01.410,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6609,2020
CVE-2020-6610,2020-01-08T21:15:11.287,2024-11-21T05:36:01.557,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6610,2020
CVE-2020-6611,2020-01-08T21:15:11.367,2024-11-21T05:36:01.693,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6611,2020
CVE-2020-6612,2020-01-08T21:15:11.457,2024-11-21T05:36:01.830,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6612,2020
CVE-2020-6613,2020-01-08T21:15:11.537,2024-11-21T05:36:01.970,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6613,2020
CVE-2020-6614,2020-01-08T21:15:11.630,2024-11-21T05:36:02.100,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6614,2020
CVE-2020-6615,2020-01-08T21:15:11.693,2024-11-21T05:36:02.237,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6615,2020
CVE-2020-6617,2020-01-08T23:15:10.410,2024-11-21T05:36:02.550,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6617,2020
CVE-2020-6618,2020-01-08T23:15:10.487,2024-11-21T05:36:02.687,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6618,2020
CVE-2020-6619,2020-01-08T23:15:10.567,2024-11-21T05:36:02.817,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6619,2020
CVE-2020-6620,2020-01-08T23:15:10.627,2024-11-21T05:36:02.947,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6620,2020
CVE-2020-6621,2020-01-08T23:15:10.677,2024-11-21T05:36:03.077,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6621,2020
CVE-2020-6622,2020-01-08T23:15:10.737,2024-11-21T05:36:03.213,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6622,2020
CVE-2020-6623,2020-01-08T23:15:10.800,2024-11-21T05:36:03.343,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6623,2020
CVE-2020-6624,2020-01-09T01:15:16.743,2024-11-21T05:36:03.470,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6624,2020
CVE-2020-6625,2020-01-09T01:15:16.820,2024-11-21T05:36:03.610,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6625,2020
CVE-2020-5205,2020-01-09T02:15:13.340,2024-11-21T05:33:40.553,security-advisories@github.com,https://cvefeed.io/vuln/detail/CVE-2020-5205,2020
CVE-2020-6628,2020-01-09T02:15:13.433,2024-11-21T05:36:03.880,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6628,2020
CVE-2020-6629,2020-01-09T02:15:13.527,2024-11-21T05:36:04.013,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6629,2020
CVE-2020-6630,2020-01-09T02:15:13.590,2024-11-21T05:36:04.150,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6630,2020
CVE-2020-6631,2020-01-09T02:15:13.653,2024-11-21T05:36:04.283,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6631,2020
CVE-2020-6632,2020-01-09T02:15:13.730,2024-11-21T05:36:04.413,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6632,2020
CVE-2020-5308,2020-01-09T13:15:11.087,2024-11-21T05:33:53.010,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5308,2020
CVE-2020-1787,2020-01-09T17:15:12.400,2024-11-21T05:11:22.827,psirt@huawei.com,https://cvefeed.io/vuln/detail/CVE-2020-1787,2020
CVE-2020-1826,2020-01-09T17:15:12.447,2024-11-21T05:11:26.610,psirt@huawei.com,https://cvefeed.io/vuln/detail/CVE-2020-1826,2020
CVE-2020-1786,2020-01-09T18:15:10.530,2024-11-21T05:11:22.700,psirt@huawei.com,https://cvefeed.io/vuln/detail/CVE-2020-1786,2020
CVE-2020-1810,2020-01-09T18:15:10.593,2024-11-21T05:11:25.460,psirt@huawei.com,https://cvefeed.io/vuln/detail/CVE-2020-1810,2020
CVE-2020-1925,2020-01-09T19:15:10.807,2024-11-21T05:11:37.143,security@apache.org,https://cvefeed.io/vuln/detail/CVE-2020-1925,2020
CVE-2020-6167,2020-01-09T19:15:10.900,2024-11-21T05:35:13.890,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6167,2020
CVE-2020-6166,2020-01-09T20:15:11.397,2024-11-21T05:35:13.733,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6166,2020
CVE-2020-6168,2020-01-09T20:15:11.473,2024-11-21T05:35:14.060,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6168,2020
CVE-2020-6750,2020-01-09T20:15:11.567,2024-11-21T05:36:07.697,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6750,2020
CVE-2020-5504,2020-01-09T22:15:13.863,2025-04-16T15:15:46.240,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5504,2020
CVE-2020-6756,2020-01-09T23:15:10.477,2024-11-21T05:36:08.807,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6756,2020
CVE-2020-6757,2020-01-09T23:15:10.570,2024-11-21T05:36:08.947,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6757,2020
CVE-2020-6758,2020-01-09T23:15:10.650,2024-11-21T05:36:09.077,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6758,2020
CVE-2020-1765,2020-01-10T15:15:11.723,2024-11-21T05:11:20.417,security@otrs.com,https://cvefeed.io/vuln/detail/CVE-2020-1765,2020
CVE-2020-1766,2020-01-10T15:15:12.050,2024-11-21T05:11:20.577,security@otrs.com,https://cvefeed.io/vuln/detail/CVE-2020-1766,2020
CVE-2020-1767,2020-01-10T15:15:12.160,2024-11-21T05:11:20.727,security@otrs.com,https://cvefeed.io/vuln/detail/CVE-2020-1767,2020
CVE-2020-6162,2020-01-10T17:15:13.720,2024-11-21T05:35:13.180,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6162,2020
CVE-2020-6835,2020-01-10T21:15:12.123,2024-11-21T05:36:15.777,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6835,2020
CVE-2020-6377,2020-01-10T22:15:12.020,2024-11-21T05:35:36.457,chrome-cve-admin@google.com,https://cvefeed.io/vuln/detail/CVE-2020-6377,2020
CVE-2020-6836,2020-01-11T01:15:10.730,2024-11-21T05:36:15.900,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6836,2020
CVE-2020-6838,2020-01-11T03:15:10.950,2024-11-21T05:36:16.030,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6838,2020
CVE-2020-6839,2020-01-11T03:15:11.027,2024-11-21T05:36:16.163,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6839,2020
CVE-2020-6840,2020-01-11T03:15:11.090,2024-11-21T05:36:16.287,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6840,2020
CVE-2020-6847,2020-01-11T04:15:11.097,2024-11-21T05:36:17.063,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6847,2020
CVE-2020-6848,2020-01-13T05:15:12.053,2024-11-21T05:36:17.207,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6848,2020
CVE-2020-6851,2020-01-13T06:15:10.957,2024-11-21T05:36:17.597,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6851,2020
CVE-2020-6860,2020-01-13T07:15:10.557,2024-11-21T05:36:18.673,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6860,2020
CVE-2020-6859,2020-01-13T17:15:11.743,2024-11-21T05:36:18.543,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6859,2020
CVE-2020-5195,2020-01-13T18:15:14.610,2024-11-21T05:33:39.490,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5195,2020
CVE-2020-5390,2020-01-13T19:15:12.413,2024-11-21T05:34:02.957,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5390,2020
CVE-2020-6948,2020-01-13T19:15:12.850,2024-11-21T05:36:22.430,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6948,2020
CVE-2020-6949,2020-01-13T19:15:12.930,2024-11-21T05:36:22.553,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6949,2020
CVE-2020-5197,2020-01-13T20:15:13.983,2024-11-21T05:33:39.767,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5197,2020
CVE-2020-6832,2020-01-13T20:15:14.063,2024-11-21T05:36:15.517,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6832,2020
CVE-2020-6954,2020-01-13T23:15:11.630,2024-11-21T05:36:22.870,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6954,2020
CVE-2020-6955,2020-01-13T23:15:11.707,2024-11-21T05:36:23.000,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6955,2020
CVE-2020-6958,2020-01-14T00:15:11.410,2024-11-21T05:36:23.247,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6958,2020
CVE-2020-5194,2020-01-14T14:15:11.593,2024-11-21T05:33:39.367,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5194,2020
CVE-2020-5196,2020-01-14T14:15:11.657,2024-11-21T05:33:39.630,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5196,2020
CVE-2020-5851,2020-01-14T16:15:11.917,2024-11-21T05:34:41.807,f5sirt@f5.com,https://cvefeed.io/vuln/detail/CVE-2020-5851,2020
CVE-2020-5852,2020-01-14T17:15:13.520,2024-11-21T05:34:41.950,f5sirt@f5.com,https://cvefeed.io/vuln/detail/CVE-2020-5852,2020
CVE-2020-5853,2020-01-14T17:15:13.597,2024-11-21T05:34:42.357,f5sirt@f5.com,https://cvefeed.io/vuln/detail/CVE-2020-5853,2020
CVE-2020-5193,2020-01-14T18:15:11.727,2024-11-21T05:33:39.230,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5193,2020
CVE-2020-6303,2020-01-14T18:15:11.790,2024-11-21T05:35:28.237,cna@sap.com,https://cvefeed.io/vuln/detail/CVE-2020-6303,2020
CVE-2020-6304,2020-01-14T18:15:11.883,2024-11-21T05:35:28.343,cna@sap.com,https://cvefeed.io/vuln/detail/CVE-2020-6304,2020
CVE-2020-6305,2020-01-14T18:15:11.977,2024-11-21T05:35:28.467,cna@sap.com,https://cvefeed.io/vuln/detail/CVE-2020-6305,2020
CVE-2020-6306,2020-01-14T18:15:12.103,2024-11-21T05:35:28.573,cna@sap.com,https://cvefeed.io/vuln/detail/CVE-2020-6306,2020
CVE-2020-6307,2020-01-14T18:15:12.180,2024-11-21T05:35:28.690,cna@sap.com,https://cvefeed.io/vuln/detail/CVE-2020-6307,2020
CVE-2020-5180,2020-01-14T19:15:13.530,2024-11-21T05:33:38.120,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5180,2020
CVE-2020-5505,2020-01-14T19:15:13.640,2024-11-21T05:34:10.843,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5505,2020
CVE-2020-5509,2020-01-14T19:15:13.703,2024-11-21T05:34:10.983,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5509,2020
CVE-2020-6173,2020-01-14T19:15:13.797,2024-11-21T05:35:14.503,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-6173,2020
CVE-2020-7053,2020-01-14T21:15:16.613,2024-11-21T05:36:34.380,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-7053,2020
CVE-2020-7054,2020-01-14T21:15:16.707,2024-11-21T05:36:34.560,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-7054,2020
CVE-2020-7057,2020-01-14T22:15:12.650,2024-11-21T05:36:34.867,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-7057,2020
CVE-2020-0601,2020-01-14T23:15:30.207,2025-04-10T16:54:50.000,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0601,2020
CVE-2020-0602,2020-01-14T23:15:30.287,2024-11-21T04:53:50.220,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0602,2020
CVE-2020-0603,2020-01-14T23:15:30.347,2024-11-21T04:53:50.333,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0603,2020
CVE-2020-0605,2020-01-14T23:15:30.427,2024-11-21T04:53:50.553,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0605,2020
CVE-2020-0606,2020-01-14T23:15:30.487,2024-11-21T04:53:50.720,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0606,2020
CVE-2020-0607,2020-01-14T23:15:30.567,2024-11-21T04:53:50.877,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0607,2020
CVE-2020-0608,2020-01-14T23:15:30.627,2024-11-21T04:53:50.993,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0608,2020
CVE-2020-0609,2020-01-14T23:15:30.690,2024-11-21T04:53:51.113,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0609,2020
CVE-2020-0610,2020-01-14T23:15:30.770,2024-11-21T04:53:51.210,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0610,2020
CVE-2020-0611,2020-01-14T23:15:30.830,2024-11-21T04:53:51.307,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0611,2020
CVE-2020-0612,2020-01-14T23:15:30.893,2024-11-21T04:53:51.427,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0612,2020
CVE-2020-0613,2020-01-14T23:15:30.973,2024-11-21T04:53:51.523,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0613,2020
CVE-2020-0614,2020-01-14T23:15:31.020,2024-11-21T04:53:51.640,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0614,2020
CVE-2020-0615,2020-01-14T23:15:31.097,2024-11-21T04:53:51.760,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0615,2020
CVE-2020-0616,2020-01-14T23:15:31.177,2024-11-21T04:53:51.897,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0616,2020
CVE-2020-0617,2020-01-14T23:15:31.237,2024-11-21T04:53:52.017,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0617,2020
CVE-2020-0620,2020-01-14T23:15:31.300,2024-11-21T04:53:52.237,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0620,2020
CVE-2020-0621,2020-01-14T23:15:31.347,2024-11-21T04:53:52.353,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0621,2020
CVE-2020-0622,2020-01-14T23:15:31.410,2024-11-21T04:53:52.457,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0622,2020
CVE-2020-0623,2020-01-14T23:15:31.487,2024-11-21T04:53:52.567,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0623,2020
CVE-2020-0624,2020-01-14T23:15:31.550,2024-11-21T04:53:52.723,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0624,2020
CVE-2020-0625,2020-01-14T23:15:31.613,2024-11-21T04:53:52.840,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0625,2020
CVE-2020-0626,2020-01-14T23:15:31.690,2024-11-21T04:53:52.970,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0626,2020
CVE-2020-0627,2020-01-14T23:15:31.753,2024-11-21T04:53:53.090,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0627,2020
CVE-2020-0628,2020-01-14T23:15:31.833,2024-11-21T04:53:53.213,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0628,2020
CVE-2020-0629,2020-01-14T23:15:31.910,2024-11-21T04:53:53.337,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0629,2020
CVE-2020-0630,2020-01-14T23:15:31.973,2024-11-21T04:53:53.457,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0630,2020
CVE-2020-0631,2020-01-14T23:15:32.037,2024-11-21T04:53:53.577,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0631,2020
CVE-2020-0632,2020-01-14T23:15:32.097,2024-11-21T04:53:53.697,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0632,2020
CVE-2020-0633,2020-01-14T23:15:32.177,2024-11-21T04:53:53.827,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0633,2020
CVE-2020-0634,2020-01-14T23:15:32.237,2024-11-21T04:53:53.940,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0634,2020
CVE-2020-0635,2020-01-14T23:15:32.300,2024-11-21T04:53:54.060,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0635,2020
CVE-2020-0636,2020-01-14T23:15:32.377,2024-11-21T04:53:54.180,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0636,2020
CVE-2020-0637,2020-01-14T23:15:32.440,2024-11-21T04:53:54.283,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0637,2020
CVE-2020-0638,2020-01-14T23:15:32.503,2025-04-08T16:00:35.440,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0638,2020
CVE-2020-0639,2020-01-14T23:15:32.583,2024-11-21T04:53:54.503,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0639,2020
CVE-2020-0640,2020-01-14T23:15:32.643,2024-11-21T04:53:54.623,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0640,2020
CVE-2020-0641,2020-01-14T23:15:32.707,2024-11-21T04:53:54.740,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0641,2020
CVE-2020-0642,2020-01-14T23:15:32.787,2024-11-21T04:53:54.853,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0642,2020
CVE-2020-0643,2020-01-14T23:15:32.863,2024-11-21T04:53:54.973,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0643,2020
CVE-2020-0644,2020-01-14T23:15:33.067,2024-11-21T04:53:55.090,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0644,2020
CVE-2020-0646,2020-01-14T23:15:33.143,2025-04-04T15:40:53.703,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0646,2020
CVE-2020-0647,2020-01-14T23:15:33.207,2024-11-21T04:53:55.520,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0647,2020
CVE-2020-0650,2020-01-14T23:15:33.270,2024-11-21T04:53:55.773,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0650,2020
CVE-2020-0651,2020-01-14T23:15:33.333,2024-11-21T04:53:55.873,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0651,2020
CVE-2020-0652,2020-01-14T23:15:33.410,2024-11-21T04:53:55.980,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0652,2020
CVE-2020-0653,2020-01-14T23:15:33.473,2024-11-21T04:53:56.087,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0653,2020
CVE-2020-0654,2020-01-14T23:15:33.537,2024-11-21T04:53:56.187,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0654,2020
CVE-2020-0656,2020-01-14T23:15:33.613,2024-11-21T04:53:56.407,secure@microsoft.com,https://cvefeed.io/vuln/detail/CVE-2020-0656,2020
CVE-2020-5501,2020-01-15T00:15:13.807,2024-11-21T05:34:10.433,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5501,2020
CVE-2020-5502,2020-01-15T00:15:13.887,2024-11-21T05:34:10.563,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-5502,2020
CVE-2020-7058,2020-01-15T07:15:12.927,2024-11-21T05:36:35.013,cve@mitre.org,https://cvefeed.io/vuln/detail/CVE-2020-7058,2020
CVE-2020-1600,2020-01-15T09:15:11.750,2024-11-21T05:10:55.953,sirt@juniper.net,https://cvefeed.io/vuln/detail/CVE-2020-1600,2020
CVE-2020-1601,2020-01-15T09:15:11.873,2024-11-21T05:10:56.183,sirt@juniper.net,https://cvefeed.io/vuln/detail/CVE-2020-1601,2020
CVE-2020-1602,2020-01-15T09:15:12.000,2024-11-21T05:10:56.373,sirt@juniper.net,https://cvefeed.io/vuln/detail/CVE-2020-1602,2020
CVE-2020-1603,2020-01-15T09:15:12.093,2024-11-21T05:10:56.543,sirt@juniper.net,https://cvefeed.io/vuln/detail/CVE-2020-1603,2020
